# USA map
# List of cities *ordered!*
# numver;city;text pos line; text pos column; text length
0;Vancouver;2;2;2
1;Seattle;6;3;2
2;Portland;9;2;2
3;San Francisco;16;2;2
4;Los Angeles;20;7;2
5;Phoenix;18;13;2
6;Las Vegas;17;7;2
7;Salt Lake City;12;11;2
8;Calgary;2;9;2
9;Helena;6;16;3
10;Winnipeg;2;17;2
11;Denver;12;19;3
12;Santa Fe;18;20;2
13;El Paso;21;21;2
14;Houston;24;32;2
15;Dallas;21;32;2
16;Oklahoma City;17;29;2
17;Kansas City;13;29;2
18;Omaha;10;29;2
19;Duluth;6;30;2
20;Sault St. Marie;2;37;2
21;Chicago;10;37;2
22;Saint Louis;14;37;2
23;Little Rock;18;37;2
24;New Orleans;24;38;2
25;Atlanta;20;46;2
26;Nashville;16;45;2
27;Pittsburgh;10;45;3
28;Toronto;6;44;2
29;Montréal;2;45;2
30;Boston;4;53;2
31;New York;8;53;2
32;Washington;11;53;2
33;Raleigh;16;51;2
34;Charleston;20;53;2
35;Miami;24;53;2
